time_s,kEffective_m2s,dkEff_dt_m2s2,normalized_kEff
0,0.4172,0.0003756490167012294,0.4172
1,0.41757564901670124,0.00037581813485049187,0.41757564901670124
2,0.417951636269701,0.0003761565234238762,0.417951636269701
3,0.418327962063549,0.0003764952166840363,0.418327962063549
4,0.41870462670306907,0.0003768342149053361,0.41870462670306907
5,0.41908163049335967,0.0003771735183624447,0.41908163049335967
6,0.41945897373979396,0.0003775131273300869,0.41945897373979396
7,0.41983665674801984,0.0003778530420833759,0.41983665674801984
8,0.4202146798239607,0.00037819326289767474,0.4202146798239607
9,0.4205930432738152,0.0003785337900484853,0.4205930432738152
10,0.4209717474040577,0.00037887462381172576,0.4209717474040577
11,0.42135079252143864,0.00037921576446339755,0.42135079252143864
12,0.4217301789329845,0.0003795572122798907,0.4217301789329845
13,0.4221099069459984,0.0003798989675377895,0.4221099069459984
14,0.42248997686806006,0.0003802410305137893,0.42248997686806006
15,0.422870389007026,0.0003805834014850573,0.422870389007026
16,0.42325114367103017,0.0003809260807289272,0.42325114367103017
17,0.42363224116848386,0.0003812690685229547,0.42363224116848386
18,0.4240136818080761,0.00038161236514494545,0.4240136818080761
19,0.42439546589877375,0.000381955970872927,0.42439546589877375
20,0.42477759374982194,0.00038229988598528775,0.42477759374982194
21,0.4251600656707443,0.00038264411076061045,0.4251600656707443
22,0.42554288197134316,0.00038298864547769984,0.42554288197134316
23,0.4259260429616997,0.000383333490415555,0.4259260429616997
24,0.42630954895217427,0.00038367864585359124,0.42630954895217427
25,0.4266934002534069,0.000384024112071335,0.4266934002534069
26,0.42707759717631694,0.0003843698893485903,0.42707759717631694
27,0.4274621400321041,0.00038471597796554957,0.4274621400321041
28,0.42784702913224804,0.00038506237820243316,0.42784702913224804
29,0.42823226478850895,0.0003854090903398777,0.42823226478850895
30,0.4286178473129278,0.0003857561146586863,0.4286178473129278
31,0.4290037770178263,0.0003861034514399675,0.4290037770178263
32,0.4293900542158077,0.0003864511009651628,0.4293900542158077
33,0.42977667921975665,0.00038679906351568594,0.42977667921975665
34,0.4301636523428391,0.0003871473393734226,0.4301636523428391
35,0.4305509738985035,0.0003874959288205915,0.4305509738985035
36,0.4309386442004803,0.00038784483213946674,0.4309386442004803
37,0.43132666356278243,0.00038819404961268345,0.43132666356278243
38,0.43171503229970565,0.00038854358152315416,0.43171503229970565
39,0.43210375072582874,0.00038889342815387473,0.43210375072582874
40,0.4324928191560134,0.00038924358978825735,0.4324928191560134
41,0.43288223790540525,0.00038959406671004726,0.43288223790540525
42,0.4332720072894335,0.000389944859203073,0.4332720072894335
43,0.4336621276238114,0.00039029596755138507,0.4336621276238114
44,0.43405259922453626,0.0003906473920394504,0.43405259922453626
45,0.4344434224078903,0.0003909991329520135,0.4344434224078903
46,0.4348345974904403,0.000391351190573791,0.4348345974904403
47,0.4352261247890379,0.0003917035651901102,0.4352261247890379
48,0.4356180046208205,0.0003920562570863262,0.4356180046208205
49,0.43601023730321053,0.0003924092665480994,0.43601023730321053
50,0.4364028231539167,0.0003927625938614787,0.4364028231539167
51,0.4367957624909335,0.0003931162393125409,0.4367957624909335
52,0.4371890556325418,0.00039347020318777903,0.4371890556325418
53,0.43758270289730905,0.0003938244857738804,0.43758270289730905
54,0.43797670460408955,0.0003941790873578377,0.43797670460408955
55,0.4383710610720247,0.00039453400822689333,0.4383710610720247
56,0.43876577262054334,0.00039488924866851183,0.43876577262054334
57,0.43916083956936175,0.00039524480897049075,0.43916083956936175
58,0.4395562622384843,0.0003956006894207664,0.4395562622384843
59,0.4399520409482033,0.00039595689030755277,0.4399520409482033
60,0.4403481760190994,0.00039631341191948,0.4403481760190994
61,0.44074466777204224,0.0003966702545453171,0.44074466777204224
62,0.44114151652819006,0.0003970274184740552,0.44114151652819006
63,0.44153872260899035,0.0003973849039950461,0.44153872260899035
64,0.44193628633618015,0.00039774271139780826,0.44193628633618015
65,0.44233420803178597,0.0003981008409721931,0.44233420803178597
66,0.44273248801812454,0.0003984592930083297,0.44273248801812454
67,0.44313112661780263,0.0003988180677964581,0.44313112661780263
68,0.44353012415371745,0.00039917716562726246,0.44353012415371745
69,0.44392948094905715,0.00039953658679159343,0.44392948094905715
70,0.44432919732730064,0.0003998963315805515,0.44432919732730064
71,0.44472927361221826,0.0004002564002856257,0.44472927361221826
72,0.4451297101278719,0.0004006167931983884,0.4451297101278719
73,0.44553050719861503,0.0004009775106107172,0.44553050719861503
74,0.4459316651490933,0.0004013385528148783,0.4459316651490933
75,0.4463331843042448,0.00040169992010330446,0.4463331843042448
76,0.44673506498929993,0.00040206161276867824,0.44673506498929993
77,0.44713730752978215,0.0004024236311039875,0.44713730752978215
78,0.4475399122515079,0.0004027859754024421,0.4475399122515079
79,0.44794287948058703,0.0004031486459575573,0.44794287948058703
80,0.448346209543423,0.00040351164306315357,0.448346209543423
81,0.44874990276671334,0.0004038749670131625,0.44874990276671334
82,0.44915395947744935,0.0004042386181019042,0.44915395947744935
83,0.44955838000291715,0.0004046025966240041,0.44955838000291715
84,0.44996316467069736,0.0004049669028741709,0.44996316467069736
85,0.4503683138086655,0.0004053315371475297,0.4503683138086655
86,0.4507738277449924,0.0004056964997395107,0.4507738277449924
87,0.4511797068081445,0.0004060617909456832,0.4511797068081445
88,0.4515859513268838,0.00040642741106189373,0.4515859513268838
89,0.4519925616302683,0.0004067933603843499,0.4519925616302683
90,0.4523995380476525,0.00040715963920942566,0.4523995380476525
91,0.45280688090868715,0.0004075262478338282,0.45280688090868715
92,0.45321459054332014,0.00040789318655456985,0.45321459054332014
93,0.4536226672817963,0.0004082604556687741,0.4536226672817963
94,0.4540311114546577,0.00040862805547398073,0.4540311114546577
95,0.45443992339274425,0.00040899598626792377,0.45443992339274425
96,0.45484910342719354,0.00040936424834861485,0.45484910342719354
97,0.4552586518894415,0.0004097328420144264,0.4552586518894415
98,0.4556685691112224,0.00041010176756384187,0.4556685691112224
99,0.45607885542456916,0.00041047102529570556,0.45607885542456916
100,0.4564895111618138,0.0004108406155091393,0.4564895111618138
101,0.45690053665558744,0.0004112105385034315,0.45690053665558744
102,0.45731193223882066,0.00041158079457831453,0.45731193223882066
103,0.45772369824474407,0.00041195138403371523,0.45772369824474407
104,0.4581358350068881,0.0004123223071696991,0.4581358350068881
105,0.45854834285908347,0.0004126935642868035,0.45854834285908347
106,0.4589612221354617,0.0004130651556857323,0.4589612221354617
107,0.45937447317045493,0.00041343708166741155,0.45937447317045493
108,0.4597880962987965,0.00041380934253318347,0.4597880962987965
109,0.4602020918555213,0.00041418193858450136,0.4602020918555213
110,0.4606164601759655,0.0004145548701232349,0.4606164601759655
111,0.46103120159576777,0.0004149281374515035,0.46103120159576777
112,0.46144631645086853,0.0004153017408715376,0.46144631645086853
113,0.46186180507751085,0.0004156756806859563,0.46186180507751085
114,0.46227766781224044,0.00041604995719776716,0.46227766781224044
115,0.4626939049919064,0.00041642457071003336,0.4626939049919064
116,0.4631105169536605,0.00041679952152617883,0.4631105169536605
117,0.46352750403495874,0.0004171748099500716,0.46352750403495874
118,0.46394486657356065,0.0004175504362854965,0.46394486657356065
119,0.46436260490752973,0.00041792640083684884,0.46436260490752973
120,0.46478071937523435,0.00041830270390860735,0.46478071937523435
121,0.46519921031534694,0.0004186793458054727,0.46519921031534694
122,0.4656180780668453,0.0004190563268327563,0.4656180780668453
123,0.46603732296901246,0.00041943364729565835,0.46603732296901246
124,0.4664569453614366,0.0004198113074998233,0.4664569453614366
125,0.4668769455840121,0.00042018930775117314,0.4668769455840121
126,0.46729732397693896,0.00042056764835582405,0.46729732397693896
127,0.46771808088072375,0.0004209463296203919,0.46771808088072375
128,0.46813921663617974,0.0004213253518515203,0.46813921663617974
129,0.4685607315844268,0.00042170471535610266,0.4685607315844268
130,0.46898262606689195,0.0004220844204415597,0.46898262606689195
131,0.4694049004253099,0.00042246446741550647,0.4694049004253099
132,0.46982755500172296,0.00042284485658561355,0.46982755500172296
133,0.47025059013848114,0.0004232255882600511,0.47025059013848114
134,0.47067400617824307,0.00042360666274735004,0.47067400617824307
135,0.47109780346397584,0.0004239880803559859,0.47109780346397584
136,0.47152198233895504,0.0004243698413949337,0.47152198233895504
137,0.4719465431467657,0.00042475194617355716,0.4719465431467657
138,0.47237148623130215,0.0004251343950013309,0.47237148623130215
139,0.47279681193676837,0.0004255171881879516,0.47279681193676837
140,0.47322252060767805,0.0004259003260434491,0.47322252060767805
141,0.47364861258885527,0.0004262838088782972,0.47364861258885527
142,0.47407508822543465,0.0004266676370029976,0.47407508822543465
143,0.47450194786286126,0.0004270518107285515,0.47450194786286126
144,0.47492919184689175,0.00042743633036609885,0.47492919184689175
145,0.47535682052359346,0.00042782119622708503,0.47535682052359346
146,0.4757848342393459,0.0004282064086232884,0.4757848342393459
147,0.47621323334084004,0.0004285919678666539,0.47621323334084004
148,0.47664201817507923,0.00042897787426957046,0.47664201817507923
149,0.4770711890893792,0.00042936412814462144,0.4770711890893792
150,0.4775007464313685,0.0004297507298045844,0.4775007464313685
151,0.47793069054898835,0.00043013767956265325,0.47793069054898835
152,0.4783610217904938,0.00043052497773232723,0.4783610217904938
153,0.478791740504453,0.0004309126246272166,0.478791740504453
154,0.4792228470397482,0.0004313006205613201,0.4792228470397482
155,0.47965434174557564,0.0004316889658490253,0.47965434174557564
156,0.48008622497144626,0.00043207766080483045,0.48008622497144626
157,0.4805184970671853,0.00043246670574345614,0.4805184970671853
158,0.4809511583829332,0.0004328561009801779,0.4809511583829332
159,0.48138420926914566,0.00043324584683038236,0.48138420926914566
160,0.48181765007659394,0.00043363594360976143,0.48181765007659394
161,0.4822514811563652,0.0004340263916342846,0.4822514811563652
162,0.4826857028598625,0.00043441719122019884,0.4826857028598625
163,0.4831203155388056,0.0004348083426840843,0.4831203155388056
164,0.4835553195452307,0.00043519984634271536,0.4835553195452307
165,0.483990715231491,0.0004355917025132272,0.483990715231491
166,0.48442650295025713,0.0004359839115130326,0.48442650295025713
167,0.4848626830545171,0.00043637647365984966,0.4848626830545171
168,0.48529925589757683,0.00043676938927167397,0.48529925589757683
169,0.4857362218330604,0.00043716265866669546,0.4857362218330604
170,0.4861735812149102,0.0004375562821635204,0.4861735812149102
171,0.48661133439738746,0.00043795026008097704,0.48661133439738746
172,0.4870494817350722,0.000438344592738088,0.4870494817350722
173,0.48748802358286364,0.00043873928045434774,0.48748802358286364
174,0.48792696029598087,0.0004391343235495282,0.48792696029598087
175,0.4883662922299627,0.0004395297223434569,0.4883662922299627
176,0.4888060197406678,0.00043992547715648866,0.4888060197406678
177,0.4892461431842757,0.0004403215883092837,0.4892461431842757
178,0.48968666291728635,0.00044071805612250214,0.48968666291728635
179,0.4901275792965207,0.00044111488091738704,0.4901275792965207
180,0.4905688926791211,0.0004415120630153202,0.4905688926791211
181,0.4910106034225513,0.00044190960273804425,0.4910106034225513
182,0.4914527118845972,0.0004423075004076904,0.4914527118845972
183,0.4918952184233667,0.0004427057563463066,0.4918952184233667
184,0.49233812339728983,0.0004431043708766347,0.49233812339728983
185,0.49278142716511997,0.0004435033443215275,0.49278142716511997
186,0.4932251300859329,0.00044390267700417096,0.4932251300859329
187,0.4936692325191283,0.00044430236924805633,0.4936692325191283
188,0.494113734824429,0.0004447024213768136,0.494113734824429
189,0.49455863736188194,0.00044510283371460013,0.49455863736188194
190,0.4950039404918582,0.00044550360658568433,0.4950039404918582
191,0.4954496445750533,0.00044590474031466765,0.4954496445750533
192,0.49589574997248753,0.00044630623522651236,0.49589574997248753
193,0.49634225704550633,0.00044670809164654157,0.49634225704550633
194,0.4967891661557806,0.0004471103099001339,0.4967891661557806
195,0.4972364776653066,0.00044751289031302877,0.4972364776653066
196,0.4976841919364067,0.0004479158332114097,0.4976841919364067
197,0.4981323093317294,0.0004483191389216268,0.4981323093317294
198,0.4985808302142499,0.00044872280777033535,0.4985808302142499
199,0.4990297549472701,0.0004491268400846349,0.4990297549472701
200,0.4994790838944192,0.0004495312361917081,0.4994790838944192
201,0.4999288174196535,0.00044993599641901527,0.4999288174196535
202,0.5003789558872572,0.0004503411210946273,0.5003789558872572
203,0.5008294996618428,0.0004507466105464486,0.5008294996618428
204,0.5012804491083501,0.0004511524651030774,0.5012804491083501
205,0.5017318045920489,0.00045155868509327846,0.5017318045920489
206,0.5021835664785367,0.0004519652708459554,0.5021835664785367
207,0.5026357351337408,0.0004523722226906224,0.5026357351337408
208,0.5030883109239179,0.0004527795409567936,0.5030883109239179
209,0.5035412942156544,0.0004531872259743719,0.5035412942156544
210,0.5039946853758667,0.0004535952780736485,0.5039946853758667
211,0.5044484847718017,0.0004540036975851369,0.5044484847718017
212,0.5049026927710369,0.00045441248483957253,0.5049026927710369
213,0.5053573097414809,0.0004548216401682459,0.5053573097414809
214,0.5058123360513734,0.00045523116390244756,0.5058123360513734
215,0.5062677720692857,0.00045564105637385666,0.5062677720692857
216,0.5067236181641211,0.0004560513179146519,0.5067236181641211
217,0.507179874705115,0.00045646194885695657,0.507179874705115
218,0.5076365420618351,0.00045687294953350444,0.5076365420618351
219,0.5080936206041821,0.0004572843202771404,0.5080936206041821
220,0.5085511107023893,0.00045769606142104236,0.5085511107023893
221,0.5090090127270241,0.0004581081732989434,0.5090090127270241
222,0.5094673270489872,0.00045852065624440996,0.5094673270489872
223,0.509926054039513,0.00045893351059156373,0.509926054039513
224,0.5103851940701704,0.0004593467366749149,0.5103851940701704
225,0.5108447475128628,0.00045976033482925116,0.5108447475128628
226,0.5113047147398289,0.00046017430538941584,0.5113047147398289
227,0.5117650961236416,0.00046058864869069627,0.5117650961236416
228,0.5122258920372103,0.0004610033650689349,0.5122258920372103
229,0.5126871028537795,0.0004614184548598632,0.5126871028537795
230,0.51314872894693,0.00046183391839976773,0.51314872894693
231,0.513610770690579,0.0004622497560252681,0.513610770690579
232,0.5140732284589805,0.0004626659680730394,0.5140732284589805
233,0.5145361026267251,0.0004630825548802009,0.5145361026267251
234,0.5149993935687409,0.0004634995167842604,0.5149993935687409
235,0.5154631016602936,0.0004639168541230587,0.5154631016602936
236,0.515927227276987,0.0004643345672344368,0.515927227276987
237,0.5163917707947625,0.00046475265645684605,0.5163917707947625
238,0.5168567325899007,0.0004651711221290711,0.5168567325899007
239,0.5173221130390206,0.0004655899645897299,0.5173221130390206
240,0.5177879125190802,0.0004660091841783842,0.5177879125190802
241,0.5182541314073774,0.00046642878123454024,0.5182541314073774
242,0.5187207700815493,0.0004668487560979817,0.5187207700815493
243,0.5191878289195734,0.0004672691091089365,0.5191878289195734
244,0.5196553082997671,0.00046768984060790997,0.5196553082997671
245,0.5201232086007892,0.0004681109509356851,0.5201232086007892
246,0.5205915302016385,0.00046853244043337794,0.5205915302016385
247,0.521060273481656,0.0004689543094423265,0.521060273481656
248,0.5215294388205232,0.0004693765583042575,0.5215294388205232
249,0.5219990265982645,0.00046979918736134163,0.5219990265982645
250,0.5224690371952458,0.0004702221969556941,0.5224690371952458
251,0.5229394709921759,0.0004706455874300963,0.5229394709921759
252,0.523410328370106,0.00047106935912744063,0.523410328370106
253,0.5238816097104307,0.000471493512391008,0.5238816097104307
254,0.524353315394888,0.00047191804756435696,0.524353315394888
255,0.5248254458055595,0.00047234296499132356,0.5248254458055595
256,0.5252980013248707,0.00047276826501613245,0.5252980013248707
257,0.5257709823355917,0.0004731939479831748,0.5257709823355917
258,0.526244389220837,0.00047362001423739697,0.526244389220837
259,0.5267182223640665,0.0004740464641239672,0.5267182223640665
260,0.527192482149085,0.00047447329798810944,0.527192482149085
261,0.5276671689600427,0.00047490051617554707,0.5276671689600427
262,0.5281422831814361,0.00047532811903255867,0.5281422831814361
263,0.5286178251981078,0.0004757561069053673,0.5286178251981078
264,0.5290937953952468,0.00047618448014058457,0.5290937953952468
265,0.529570194158389,0.0004766132390853217,0.529570194158389
266,0.5300470218734175,0.000477042384086801,0.5300470218734175
267,0.5305242789265626,0.00047747191549263324,0.5305242789265626
268,0.5310019657044027,0.00047790183365076233,0.5310019657044027
269,0.5314800825938641,0.0004783321389093542,0.5314800825938641
270,0.5319586299822214,0.0004787628316169634,0.5319586299822214
271,0.5324376082570981,0.00047919391212253304,0.5324376082570981
272,0.5329170178064665,0.0004796253807752282,0.5329170178064665
273,0.5333968590186485,0.0004800572379244916,0.5333968590186485
274,0.5338771322823155,0.00048048948392009905,0.5338771322823155
275,0.5343578379864887,0.00048092211911232585,0.5343578379864887
276,0.5348389765205401,0.0004813551438514474,0.5348389765205401
277,0.5353205482741916,0.00048178855848823865,0.5353205482741916
278,0.5358025536375166,0.00048222236337380764,0.5358025536375166
279,0.5362849930009392,0.00048265655885948444,0.5362849930009392
280,0.5367678667552356,0.0004830911452969877,0.5367678667552356
281,0.5372511752915332,0.00048352612303836917,0.5372511752915332
282,0.5377349190013123,0.0004839614924359581,0.5377349190013123
283,0.5382190982764051,0.00048439725384241683,0.5382190982764051
284,0.5387037135089972,0.00048483340761062976,0.5387037135089972
285,0.5391887650916264,0.00048526995409392537,0.5391887650916264
286,0.539674253417185,0.0004857068936458542,0.539674253417185
287,0.5401601788789181,0.0004861442266204663,0.5401601788789181
288,0.5406465418704259,0.0004865819533719784,0.5406465418704259
289,0.541133342785662,0.00048702007425477367,0.541133342785662
290,0.5416205820189355,0.00048745858962395694,0.5416205820189355
291,0.54210825996491,0.00048789749983457753,0.54210825996491
292,0.5425963770186046,0.0004883368052421844,0.5425963770186046
293,0.5430849335753943,0.0004887765062026594,0.5430849335753943
294,0.54357393003101,0.0004892166030721623,0.54357393003101
295,0.5440633667815387,0.0004896570962070745,0.5440633667815387
296,0.5445532442234241,0.0004900979859642773,0.5445532442234241
297,0.5450435627534672,0.0004905392727009295,0.5450435627534672
298,0.545534322768826,0.0004909809567744117,0.545534322768826
299,0.546025524667016,0.0004914230385424379,0.546025524667016
300,0.5465171688459108,0.0004918655183631104,0.5465171688459108
301,0.5470092557037423,0.0004923083965949759,0.5470092557037423
302,0.5475017856391008,0.0004927516735966919,0.5475017856391008
303,0.5479947590509356,0.0004931953497271935,0.5479947590509356
304,0.5484881763385552,0.0004936394253459708,0.5484881763385552
305,0.5489820379016276,0.0004940839008127917,0.5489820379016276
306,0.5494763441401808,0.0004945287764875905,0.5494763441401808
307,0.5499710954546028,0.0004949740527306346,0.5499710954546028
308,0.550466292245642,0.0004954197299026908,0.550466292245642
309,0.5509619349144081,0.0004958658083648593,0.5509619349144081
310,0.5514580238623717,0.0004963122884782956,0.5514580238623717
311,0.5519545594913647,0.0004967591706047103,0.5519545594913647
312,0.5524515422035812,0.0004972064551060917,0.5524515422035812
313,0.5529489724015769,0.0004976541423447611,0.5529489724015769
314,0.5534468504882707,0.0004981022326832063,0.5534468504882707
315,0.5539451768669433,0.0004985507264845257,0.5539451768669433
316,0.5544439519412397,0.0004989996241120953,0.5544439519412397
317,0.5549431761151675,0.0004994489259292911,0.5549431761151675
318,0.5554428497930983,0.0004998986323000998,0.5554428497930983
319,0.5559429733797677,0.000500348743588841,0.5559429733797677
320,0.556443547280276,0.0005007992601601674,0.556443547280276
321,0.5569445719000881,0.0005012501823788984,0.5569445719000881
322,0.5574460476450338,0.0005017015106101863,0.5574460476450338
